annual_spend,visit_frequency,segment
70.8,4.9,Occasional
86.3,15.66,VIP
30.6,17.85,Regular
90.9,20.27,VIP
93.4,19.22,VIP
95.9,14.62,VIP
23.1,17.92,Regular
74.8,4.6,Occasional
66.2,4.49,Occasional
81.4,18.66,VIP
20.8,3.43,Casual
29.5,14.39,Regular
86.3,20.27,VIP
7.6,2.52,Casual
25.8,18.45,Regular
19.9,0.26,Casual
12.1,0.25,Casual
26.1,20.49,Regular
76.3,3.98,Occasional
73.1,3.56,Occasional
81.8,18.83,VIP
20.0,15.31,Regular
78.8,2.73,Occasional
85.1,18.85,VIP
89.6,17.27,VIP
71.5,3.25,Occasional
40.7,4.28,Casual
71.7,4.08,Occasional
88.2,16.83,VIP
82.0,3.57,Occasional
74.4,3.14,Occasional
78.7,19.89,VIP
20.6,3.55,Casual
11.3,3.34,Casual
77.1,3.36,Occasional
30.2,12.06,Regular
20.0,3.76,Casual
69.4,19.6,VIP
82.9,4.53,Occasional
61.2,5.92,Occasional
21.0,4.86,Casual
26.4,14.99,Regular
90.2,16.95,VIP
94.1,21.44,VIP
84.3,5.18,Occasional
20.5,17.58,Regular
28.4,21.26,Regular
13.1,13.76,Regular
97.0,17.78,VIP
82.6,18.26,VIP
22.6,7.1,Casual
31.0,14.92,Regular
18.1,16.39,Regular
14.8,5.31,Casual
9.5,3.51,Casual
87.0,3.99,Occasional
22.2,2.55,Casual
18.7,13.55,Regular
74.1,5.61,Occasional
8.1,0.63,Casual
16.8,2.92,Casual
20.1,15.93,Regular
77.0,3.49,Occasional
12.1,3.32,Casual
15.8,16.79,Regular
92.1,18.83,VIP
16.4,19.28,Regular
94.8,4.05,Occasional
64.6,3.26,Occasional
17.4,18.09,Regular
24.3,14.89,Regular
9.5,3.18,Casual
81.3,20.55,VIP
16.5,11.03,Regular
33.2,17.16,Regular
15.0,5.15,Casual
78.1,1.7,Occasional
91.1,19.31,VIP
64.5,3.62,Occasional
21.0,3.82,Casual
72.4,18.82,VIP
83.3,15.29,VIP
26.0,18.84,Regular
21.4,4.82,Casual
13.8,18.57,Regular
91.1,4.95,Occasional
20.7,4.24,Casual
28.2,5.92,Casual
78.2,15.57,VIP
57.6,4.32,Occasional
20.4,12.75,Regular
92.3,6.81,Occasional
82.1,3.76,Occasional
21.8,4.24,Casual
72.6,18.89,VIP
83.3,15.87,VIP
83.9,14.04,VIP
13.3,15.42,Regular
78.7,20.36,VIP
30.7,20.01,Regular
16.1,3.55,Casual
35.9,14.54,Regular
17.1,4.13,Casual
83.2,3.29,Occasional
82.3,4.61,Occasional
12.7,4.35,Casual
20.8,15.96,Regular
17.7,6.77,Casual
17.7,2.65,Casual
85.0,4.43,Occasional
24.1,17.49,Regular
18.9,18.15,Regular
16.4,2.68,Casual
89.5,18.52,VIP
25.3,12.97,Regular
92.7,18.38,VIP
89.1,13.98,VIP
19.3,2.69,Casual
79.3,19.44,VIP
27.8,15.08,Regular
73.3,5.26,Occasional
100.1,14.57,VIP
86.0,5.52,Occasional
84.6,17.46,VIP
74.4,18.04,VIP
84.2,16.53,VIP
76.8,4.11,Occasional
84.1,18.75,VIP
24.1,13.32,Regular
25.1,18.72,Regular
92.2,18.25,VIP
75.5,3.23,Occasional
20.7,4.01,Casual
104.7,4.93,Occasional
79.6,6.97,Occasional
23.1,12.9,Regular
98.2,13.69,VIP
20.2,4.05,Casual
7.8,16.9,Regular
21.8,3.85,Casual
14.7,3.39,Casual
85.5,18.88,VIP
80.0,20.83,VIP
75.3,17.11,VIP
14.9,3.56,Casual
36.5,12.16,Regular
84.8,4.7,Occasional
20.0,2.21,Casual
80.0,18.58,VIP
22.6,20.33,Regular
80.9,4.36,Occasional
19.9,2.84,Casual
27.3,17.82,Regular
64.5,4.7,Occasional
100.1,6.58,Occasional
26.1,5.13,Casual
21.0,4.72,Casual
28.8,5.81,Casual
18.8,5.53,Casual
95.4,14.72,VIP
72.5,4.46,Occasional
28.9,17.31,Regular
22.8,4.61,Casual
92.5,17.29,VIP
24.6,19.17,Regular
26.6,16.96,Regular
99.2,4.91,Occasional
27.0,5.13,Casual
14.7,12.17,Regular
27.4,15.45,Regular
68.7,16.35,VIP
88.2,5.26,Occasional
92.2,4.8,Occasional
15.9,3.83,Casual
70.7,2.25,Occasional
84.8,13.61,VIP
79.2,5.0,Occasional
28.1,14.19,Regular
89.9,3.59,Occasional
17.3,4.67,Casual
