x1,x2,label
-0.0354,-0.0825,0
-1.5831,-0.9727,1
1.6993,-1.1631,1
1.3025,-1.252,1
-0.4234,-0.9431,0
0.1713,1.748,1
0.38,-2.2723,1
-1.9026,-0.696,1
0.522,-0.2968,0
-1.6833,-0.5283,1
0.0217,0.3056,0
-0.3487,0.1475,0
-1.5855,0.0507,1
1.1932,1.2112,1
1.2272,-2.0797,1
-0.9301,0.7115,1
-0.0066,-0.0371,0
-1.3748,0.8166,1
-0.0965,0.1362,0
1.8375,-0.586,1
-0.2864,-2.2046,1
-0.3297,-0.0126,0
-0.2615,-0.148,0
1.0125,1.7172,1
0.1761,0.0615,0
-0.2958,-0.7217,0
0.2527,1.7657,1
-0.0248,-0.0693,0
-0.2569,0.1957,0
-0.0268,-0.0968,0
-0.7426,-2.0511,1
-1.9376,-1.4105,1
-2.1193,-0.8593,1
0.0502,0.2946,0
1.4271,-0.4302,1
0.408,-0.0136,0
-0.0627,0.3453,0
-0.0445,-0.029,0
-0.1301,0.1802,0
-0.5709,0.3711,0
-0.1788,-2.2141,1
1.0268,1.4505,1
-2.1445,-0.3455,1
-0.6837,0.107,0
0.354,1.6374,1
-2.1778,-0.3148,1
-2.0541,-0.2557,1
-1.0123,1.3829,1
-0.9081,1.1592,1
-0.1725,2.2806,1
0.1879,0.4398,0
-0.0719,-0.2421,0
-0.0095,-0.0552,0
-1.7552,-1.3726,1
-1.3864,-0.8888,1
0.1409,-0.218,0
1.0533,-1.6921,1
1.3241,0.7984,1
-0.0774,-1.6514,1
1.9746,-0.5457,1
0.0769,0.0549,0
0.2354,-0.3414,0
0.1167,-0.3158,0
-2.1388,-0.3294,1
0.0319,0.3893,0
-0.1219,-0.0928,0
-0.6529,-2.043,1
0.2934,0.1929,0
-1.6304,0.3018,1
-0.159,-0.0331,0
-0.1995,-2.0547,1
-0.0273,-0.1161,0
0.1885,-0.1519,0
0.9348,1.6884,1
-0.0957,0.004,0
0.315,0.1132,0
-0.2491,-0.4801,0
-2.3567,0.42,1
-0.1036,0.1633,0
-1.7199,0.8696,1
1.8219,1.1507,1
0.0128,-0.129,0
-0.3102,-0.6739,0
2.0627,-0.8095,1
0.2841,-0.3707,0
-0.1783,-0.0696,0
0.1024,-0.0523,0
0.4859,0.1646,0
-0.0558,0.1518,0
0.3654,-0.2157,0
2.2775,0.1064,1
1.5616,0.5967,1
0.4278,-0.2278,0
0.615,1.6708,1
-0.427,-0.2018,0
-1.7227,-0.8142,1
2.0937,-0.2192,1
1.884,0.413,1
-0.7636,-0.0874,0
0.3899,-1.7971,1
-2.0414,-1.276,1
1.7951,1.0241,1
-0.4031,1.949,1
0.0237,-0.089,0
-0.9903,-1.441,1
-1.0684,-1.7674,1
-0.2631,-0.0416,0
0.011,-0.0932,0
1.6021,1.251,1
-0.2446,0.079,0
0.802,-1.7516,1
0.012,0.1055,0
-0.0162,-0.0532,0
1.0659,1.5512,1
-0.0102,-0.053,0
0.542,0.758,0
-2.1147,-1.1118,1
-0.0671,-0.103,0
-0.4022,0.082,0
0.0254,-0.0414,0
0.4648,-0.7715,0
-1.9516,0.1184,1
1.2306,-1.0203,1
-2.013,-0.4663,1
0.6764,-1.6209,1
1.0909,-1.5841,1
-0.0523,1.7238,1
0.0624,1.8849,1
1.9678,0.7202,1
1.6754,-0.1029,1
1.045,-1.8901,1
-0.0289,-0.0315,0
-0.0782,0.0438,0
1.7667,-0.3428,1
-1.9378,0.4845,1
0.0976,0.3129,0
-0.4844,1.8933,1
-0.1591,0.0551,0
0.1338,0.1714,0
-0.0781,0.0544,0
-1.5199,-1.0084,1
-0.1181,-1.4799,1
-1.904,0.7058,1
-0.0169,0.0828,0
1.5296,0.0095,1
0.7303,1.8592,1
0.1017,-0.0488,0
-1.792,-0.8994,1
-0.0164,-0.0916,0
-0.3956,0.2368,0
0.7171,0.2471,0
0.2932,1.5653,1
0.9688,-2.0135,1
0.2494,-0.7525,0
-0.8115,2.177,1
0.4262,0.0593,0
-0.0058,-0.0655,0
0.398,-0.5726,0
-0.6535,1.9916,1
-2.1646,0.547,1
0.3282,-0.1882,0
0.8203,1.8325,1
-0.0446,-0.1218,0
0.0634,0.5657,0
-0.2402,0.0494,0
-0.1586,0.1966,0
-0.1808,-0.1819,0
-1.9719,-0.3663,1
1.2566,-0.572,1
0.0096,0.2746,0
0.1348,-0.5822,0
-0.7011,1.3265,1
1.4603,-0.9393,1
-0.0946,-0.159,0
-1.6775,-0.9456,1
-0.0662,1.6868,1
-1.9528,-1.2012,1
-0.2566,-0.2228,0
0.0165,-0.0937,0
1.6727,0.1779,1
-0.0608,-0.1269,0
-2.3866,-0.3916,1
0.3938,1.6795,1
2.0067,-0.1536,1
0.126,-0.4323,0
0.1262,1.8724,1
0.5927,0.1653,0
1.871,0.9686,1
0.1143,-0.1194,0
0.3465,-0.3571,0
-0.0253,-0.3412,0
0.2553,-0.3101,0
0.2341,-0.4093,0
-0.1676,0.1239,0
-0.5887,1.877,1
0.3576,-0.1148,0
-0.188,1.9417,1
-0.3834,0.3049,0
-0.7155,2.0069,1
-0.3562,-0.1824,0
0.1161,-0.0042,0
-0.501,0.9373,0
-0.8709,0.6741,0
-0.0057,-0.0586,0
0.0818,-0.0419,0
1.5107,-1.2725,1
1.6587,-1.3384,1
0.0012,-0.0212,0
-1.5527,-1.0305,1
0.0694,2.1325,1
0.3432,1.4146,1
-0.3317,1.6361,1
1.6214,-1.0995,1
-1.6698,-0.869,1
-0.1516,-0.0542,0
-1.4963,1.4368,1
1.5173,1.1296,1
0.3475,0.2398,0
0.9439,1.7708,1
1.7085,0.7285,1
-0.5111,-1.9027,1
-0.0319,-0.118,0
-0.0942,0.0087,0
1.064,1.4376,1
-0.9911,-1.5216,1
0.0513,-0.3331,0
0.1412,2.2479,1
0.7233,-2.0256,1
0.8633,-0.0999,0
-0.8779,-0.0718,0
1.3648,1.355,1
1.8716,-0.1864,1
-0.1538,-0.3682,0
1.9129,0.0239,1
1.8517,-0.0936,1
-1.0064,-1.8284,1
0.4681,1.6279,1
-0.0015,-0.0235,0
-0.9093,-1.7431,1
0.0364,0.4967,0
-0.0015,-0.0408,0
0.3571,-0.0549,0
0.7345,-0.0472,0
-0.1994,-1.6869,1
0.3596,-0.3375,0
0.0502,-0.0573,0
-0.2316,0.1295,0
-1.9543,-0.2927,1
0.2005,-0.1107,0
-1.6738,1.5466,1
-0.2046,0.031,0
1.9957,0.1493,1
1.7958,-0.9025,1
0.1143,-0.3828,0
0.4784,-0.2703,0
0.2906,0.3668,0
1.6294,-1.2774,1
-1.0116,1.7486,1
0.3195,-2.203,1
-0.1061,0.4879,0
0.1837,0.8997,0
-2.0243,0.5758,1
0.097,-0.2725,0
-0.1241,-0.0469,0
0.2425,1.7738,1
-0.9403,1.4207,1
1.8838,0.8389,1
-1.4663,1.6167,1
-0.3164,0.0556,0
-0.2971,-2.312,1
-0.2467,0.1657,0
-0.2562,0.1975,0
-0.149,-0.0775,0
0.5099,-2.0349,1
0.0374,-0.2067,0
0.0896,-0.1421,0
-1.6889,0.8398,1
-0.1733,0.2052,0
-0.0141,-0.1048,0
-0.1296,0.2197,0
-0.0164,-0.0762,0
-0.0302,-0.1072,0
1.548,0.7226,1
-1.8706,-0.8165,1
0.0208,-0.1511,0
0.1961,-0.2163,0
-0.1178,-0.5184,0
0.0569,0.139,0
-0.7412,1.7614,1
0.0966,-0.0209,0
-0.0897,1.9896,1
1.6492,-0.8349,1
0.0116,-0.0526,0
0.6485,1.6305,1
0.8489,-1.9044,1
0.135,-0.0058,0
-0.1316,-0.5835,0
-0.693,0.1519,0
0.6064,-2.0524,1
1.2131,0.2622,1
