hours_studied,passed
6.53,1
4.85,1
4.04,0
6.24,1
7.32,0
2.93,0
9.29,1
8.0,0
2.93,0
5.6,0
9.51,1
3.25,0
2.57,0
6.05,0
5.39,0
3.62,0
9.44,1
1.83,0
8.01,0
9.05,1
8.2,1
3.9,0
5.38,1
6.44,0
2.67,0
10.19,1
7.35,1
7.14,1
5.31,1
7.6,1
1.5,0
6.18,0
10.29,1
8.91,0
4.81,0
7.13,1
5.6,0
5.24,0
7.08,0
3.91,0
3.73,0
7.23,1
7.15,1
4.11,0
6.96,1
5.26,1
8.38,1
7.98,0
5.79,0
7.09,1
5.09,0
3.85,0
11.11,1
5.97,1
4.27,0
6.18,1
6.43,0
3.67,0
2.99,0
2.01,0
4.18,1
4.62,0
2.67,0
2.12,0
5.98,1
9.15,1
7.38,1
3.34,0
4.28,0
6.3,0
3.51,0
7.13,1
6.54,1
6.81,0
8.63,1
3.73,0
5.34,0
5.55,0
3.79,0
4.84,0
8.49,1
9.42,1
8.94,1
2.19,0
7.44,1
1.66,0
4.81,0
4.96,0
6.04,1
8.88,1
9.64,1
10.49,1
1.99,1
4.33,0
5.79,1
8.77,1
6.38,1
3.02,0
9.25,1
4.92,0
2.32,0
1.49,0
7.69,1
6.98,1
1.56,0
9.77,1
6.08,1
8.27,1
7.61,1
4.75,1
4.65,0
5.98,1
3.46,0
8.13,0
3.64,0
3.75,0
8.22,1
6.4,0
2.35,0
5.79,0
5.74,0
9.25,1
7.62,1
7.03,0
9.05,1
1.94,0
5.89,0
8.47,1
7.43,1
3.8,0
7.67,1
4.76,1
7.41,1
1.53,0
7.22,1
7.51,1
7.17,1
2.09,0
7.25,1
9.89,1
7.64,1
10.36,1
5.29,1
8.99,1
2.62,0
7.85,1
5.47,0
7.54,1
6.5,1
7.08,1
4.54,1
11.43,0
4.25,0
5.16,0
3.05,0
3.71,1
8.79,0
10.25,1
9.8,1
7.9,1
7.47,1
5.14,0
4.54,0
7.73,1
4.93,0
6.66,1
7.99,0
4.03,0
7.08,0
6.18,0
6.63,1
9.33,0
9.76,1
9.7,1
7.97,1
7.66,0
4.73,0
10.44,0
5.54,0
1.18,0
11.28,1
3.16,0
6.07,0
6.42,1
1.19,0
9.44,1
6.44,0
7.47,1
9.72,1
7.72,1
3.98,1
3.75,0
3.44,0
7.09,1
5.21,0
4.0,0
7.18,0
4.38,0
4.6,0
5.5,0
