hours_studied,exam_score
6.53,73.3
4.85,78.6
4.04,50.2
6.24,66.0
7.32,59.1
2.93,45.1
9.29,67.8
8.0,57.5
2.93,37.4
5.6,49.1
9.51,73.2
3.25,36.0
2.57,32.8
6.05,58.1
5.39,59.5
3.62,35.0
9.44,61.9
1.83,26.7
8.01,57.5
9.05,61.6
8.2,77.0
3.9,46.3
5.38,70.7
6.44,48.7
2.67,43.9
10.19,66.8
7.35,68.0
7.14,63.2
5.31,68.1
7.6,67.2
1.5,33.3
6.18,50.5
10.29,73.0
8.91,58.3
4.81,54.9
7.13,62.6
5.6,48.8
5.24,42.4
7.08,54.4
3.91,55.7
3.73,50.2
7.23,62.2
7.15,62.7
4.11,37.5
6.96,67.3
5.26,72.4
8.38,69.7
7.98,57.3
5.79,58.8
7.09,62.9
5.09,50.2
3.85,42.1
11.11,73.5
5.97,63.9
4.27,58.6
6.18,66.7
6.43,57.7
3.67,35.3
2.99,39.7
2.01,41.5
4.18,62.4
4.62,47.7
2.67,39.8
2.12,55.3
5.98,68.5
9.15,64.4
7.38,75.6
3.34,58.3
4.28,50.2
6.3,50.5
3.51,51.1
7.13,61.6
6.54,75.2
6.81,49.1
8.63,63.4
3.73,53.9
5.34,52.1
5.55,59.4
3.79,54.1
4.84,56.8
8.49,73.2
9.42,60.7
8.94,68.5
2.19,35.3
7.44,65.9
1.66,34.4
4.81,48.6
4.96,54.7
6.04,61.8
8.88,70.5
9.64,70.2
10.49,77.5
1.99,60.2
4.33,37.3
5.79,65.9
8.77,90.8
6.38,74.0
3.02,46.9
9.25,72.1
4.92,52.4
2.32,40.4
1.49,37.0
7.69,65.0
6.98,65.5
1.56,32.8
9.77,70.2
6.08,61.3
8.27,60.0
7.61,66.2
4.75,65.5
4.65,57.4
5.98,65.8
3.46,49.0
8.13,57.8
3.64,51.8
3.75,50.3
8.22,72.9
6.4,55.2
2.35,57.1
5.79,58.0
5.74,51.3
9.25,67.0
7.62,66.5
7.03,59.1
9.05,70.4
1.94,46.5
5.89,49.9
8.47,60.2
7.43,60.7
3.8,28.8
7.67,64.6
4.76,66.4
7.41,73.9
1.53,23.1
7.22,61.8
7.51,79.5
7.17,64.1
2.09,41.7
7.25,71.5
9.89,81.7
7.64,72.1
10.36,73.2
5.29,60.2
8.99,70.8
2.62,46.5
7.85,64.7
5.47,59.5
7.54,63.5
6.5,66.4
7.08,67.4
4.54,79.0
11.43,43.7
4.25,54.7
5.16,54.5
3.05,56.0
3.71,63.9
8.79,57.4
10.25,63.9
9.8,65.6
7.9,64.5
7.47,71.8
5.14,56.9
4.54,48.3
7.73,66.8
4.93,55.8
6.66,70.1
7.99,52.9
4.03,52.0
7.08,48.5
6.18,57.1
6.63,72.5
9.33,55.1
9.76,71.1
9.7,68.4
7.97,61.0
7.66,54.3
4.73,54.4
10.44,52.4
5.54,48.9
1.18,16.9
11.28,76.5
3.16,39.9
6.07,56.7
6.42,65.9
1.19,44.0
9.44,74.0
6.44,58.0
7.47,70.8
9.72,77.6
7.72,69.5
3.98,65.8
3.75,47.2
3.44,48.8
7.09,66.2
5.21,48.8
4.0,54.5
7.18,59.7
4.38,57.3
4.6,42.9
5.5,58.3
