hours_studied,sleep_hours,exam_score
6.53,8.36,73.3
4.85,7.47,78.6
4.04,7.43,50.2
6.24,7.45,66.0
7.32,5.4,59.1
2.93,6.82,45.1
9.29,6.71,67.8
8.0,7.23,57.5
2.93,5.51,37.4
5.6,8.8,49.1
9.51,7.11,73.2
3.25,5.67,36.0
2.57,5.12,32.8
6.05,6.69,58.1
5.39,6.9,59.5
3.62,6.21,35.0
9.44,7.1,61.9
1.83,6.29,26.7
8.01,7.61,57.5
9.05,6.2,61.6
8.2,6.96,77.0
3.9,8.08,46.3
5.38,9.83,70.7
6.44,5.89,48.7
2.67,6.49,43.9
10.19,6.08,66.8
7.35,7.86,68.0
7.14,5.74,63.2
5.31,6.47,68.1
7.6,6.97,67.2
1.5,5.92,33.3
6.18,5.95,50.5
10.29,6.48,73.0
8.91,4.69,58.3
4.81,5.41,54.9
7.13,6.55,62.6
5.6,7.16,48.8
5.24,6.8,42.4
7.08,5.05,54.4
3.91,6.49,55.7
3.73,7.88,50.2
7.23,7.61,62.2
7.15,6.91,62.7
4.11,6.02,37.5
6.96,7.69,67.3
5.26,6.36,72.4
8.38,5.71,69.7
7.98,6.12,57.3
5.79,8.59,58.8
7.09,7.24,62.9
5.09,8.28,50.2
3.85,6.47,42.1
11.11,8.03,73.5
5.97,6.34,63.9
4.27,6.83,58.6
6.18,9.73,66.7
6.43,7.84,57.7
3.67,6.45,35.3
2.99,6.91,39.7
2.01,7.36,41.5
4.18,8.33,62.4
4.62,6.46,47.7
2.67,5.08,39.8
2.12,6.69,55.3
5.98,7.02,68.5
9.15,7.12,64.4
7.38,8.45,75.6
3.34,7.35,58.3
4.28,7.89,50.2
6.3,5.79,50.5
3.51,7.95,51.1
7.13,9.31,61.6
6.54,7.85,75.2
6.81,7.28,49.1
8.63,7.17,63.4
3.73,8.97,53.9
5.34,5.98,52.1
5.55,6.88,59.4
3.79,7.51,54.1
4.84,7.82,56.8
8.49,6.52,73.2
9.42,7.34,60.7
8.94,6.69,68.5
2.19,7.13,35.3
7.44,6.85,65.9
1.66,5.74,34.4
4.81,6.98,48.6
4.96,7.96,54.7
6.04,5.94,61.8
8.88,6.73,70.5
9.64,7.73,70.2
10.49,5.82,77.5
1.99,7.2,60.2
4.33,5.83,37.3
5.79,8.25,65.9
8.77,9.54,90.8
6.38,9.22,74.0
3.02,6.76,46.9
9.25,7.81,72.1
4.92,7.13,52.4
2.32,7.11,40.4
1.49,8.7,37.0
7.69,5.55,65.0
6.98,8.16,65.5
1.56,6.95,32.8
9.77,8.55,70.2
6.08,7.21,61.3
8.27,6.26,60.0
7.61,7.3,66.2
4.75,7.81,65.5
4.65,7.04,57.4
5.98,7.54,65.8
3.46,6.43,49.0
8.13,4.65,57.8
3.64,7.99,51.8
3.75,7.77,50.3
8.22,7.16,72.9
6.4,7.08,55.2
2.35,8.14,57.1
5.79,6.5,58.0
5.74,6.22,51.3
9.25,6.79,67.0
7.62,8.31,66.5
7.03,5.47,59.1
9.05,8.31,70.4
1.94,6.3,46.5
5.89,5.79,49.9
8.47,8.39,60.2
7.43,6.89,60.7
3.8,5.57,28.8
7.67,6.61,64.6
4.76,8.02,66.4
7.41,8.31,73.9
1.53,6.53,23.1
7.22,7.45,61.8
7.51,7.79,79.5
7.17,6.29,64.1
2.09,7.39,41.7
7.25,6.96,71.5
9.89,6.41,81.7
7.64,6.46,72.1
10.36,7.07,73.2
5.29,7.03,60.2
8.99,6.38,70.8
2.62,6.53,46.5
7.85,8.22,64.7
5.47,7.24,59.5
7.54,7.97,63.5
6.5,8.32,66.4
7.08,7.65,67.4
4.54,9.5,79.0
11.43,6.09,43.7
4.25,7.89,54.7
5.16,6.65,54.5
3.05,9.04,56.0
3.71,8.87,63.9
8.79,4.85,57.4
10.25,5.93,63.9
9.8,7.73,65.6
7.9,7.87,64.5
7.47,7.81,71.8
5.14,6.92,56.9
4.54,7.5,48.3
7.73,7.72,66.8
4.93,6.91,55.8
6.66,8.13,70.1
7.99,4.51,52.9
4.03,7.7,52.0
7.08,5.86,48.5
6.18,8.05,57.1
6.63,6.75,72.5
9.33,6.02,55.1
9.76,7.41,71.1
9.7,6.0,68.4
7.97,6.0,61.0
7.66,5.28,54.3
4.73,6.97,54.4
10.44,7.55,52.4
5.54,8.13,48.9
1.18,6.84,16.9
11.28,8.15,76.5
3.16,7.02,39.9
6.07,6.9,56.7
6.42,7.63,65.9
1.19,8.16,44.0
9.44,6.62,74.0
6.44,6.73,58.0
7.47,6.82,70.8
9.72,7.09,77.6
7.72,6.01,69.5
3.98,8.13,65.8
3.75,6.56,47.2
3.44,7.51,48.8
7.09,6.09,66.2
5.21,7.39,48.8
4.0,7.43,54.5
7.18,6.54,59.7
4.38,9.22,57.3
4.6,7.41,42.9
5.5,8.95,58.3
